,0
Start,2026-01-23 10:15:00
End,2026-07-22 10:00:00
Duration,179 days 23:45:00
Exposure Time [%],50.71180555555556
Equity Final [$],35918819.61492011
Equity Peak [$],100000000.0
Commissions [$],46020094.54508004
Return [%],-64.08118038507989
Buy & Hold Return [%],-27.413966084169417
Return (Ann.) [%],-87.3154881146827
Volatility (Ann.) [%],3.8832481840950597
CAGR [%],-87.4616680915726
Sharpe Ratio,-22.485168079729736
Sortino Ratio,-3.5334329864733944
Calmar Ratio,-1.350936144219225
Alpha [%],-52.65196774090563
Beta,0.41691204436027296
Max. Drawdown [%],-64.6333200042899
Avg. Drawdown [%],-64.6333200042899
Max. Drawdown Duration,179 days 07:00:00
Avg. Drawdown Duration,179 days 07:00:00
# Trades,352
Win Rate [%],23.011363636363637
Best Trade [%],6.394815247553678
Worst Trade [%],-3.4437295349078223
Avg. Trade [%],-0.2909288828380818
Max. Trade Duration,0 days 22:00:00
Avg. Trade Duration,0 days 05:59:00
Profit Factor,0.48567031894898055
Expectancy [%],-0.2847857955442733
SQN,-4.066248877761609
Kelly Criterion,-0.2215735841670326
_strategy,MACrossover
_equity_curve,"                           Equity  DrawdownPct  DrawdownDuration
Date                                                            
2026-01-23 10:15:00  1.000000e+08     0.000000               NaT
2026-01-23 10:30:00  1.000000e+08     0.000000               NaT
2026-01-23 10:45:00  1.000000e+08     0.000000               NaT
2026-01-23 11:00:00  1.000000e+08     0.000000               NaT
2026-01-23 11:15:00  1.000000e+08     0.000000               NaT
...                           ...          ...               ...
2026-07-22 09:00:00  3.591882e+07     0.640812               NaT
2026-07-22 09:15:00  3.591882e+07     0.640812               NaT
2026-07-22 09:30:00  3.591882e+07     0.640812               NaT
2026-07-22 09:45:00  3.591882e+07     0.640812               NaT
2026-07-22 10:00:00  3.591882e+07     0.640812 179 days 07:00:00

[17280 rows x 3 columns]"
_trades,"     Size  EntryBar  ExitBar  ...  Exit_sma(C,10)  Entry_sma(C,30) Exit_sma(C,30)
0    1111        68       87  ...       89664.713     89605.861667   89694.862333
1    1111       144      152  ...       89333.989     89358.021333   89356.733333
2    1114       203      217  ...       88460.449     88642.138667   88592.093000
3    1117       253      293  ...       87839.022     86795.967667   87875.612000
4    1103       308      316  ...       87734.484     87938.447333   87835.938333
..    ...       ...      ...  ...             ...              ...            ...
347   558     17015    17030  ...       64465.928     64523.027333   64507.746667
348   553     17042    17068  ...       64647.038     64539.713333   64723.387000
349   551     17093    17135  ...       65280.052     64252.261333   65303.850667
350   548     17148    17215  ...       66482.873     65302.084333   66520.313333
351   543     17240    17252  ...       66365.057     66390.199667   66410.711000

[352 rows x 18 columns]"
