ropa_id,batch_no,subdivision,prop_location,prop_type,tct_cct_no,lot_area,floor_area,min_sellprice,occupancy,status,status_bid,disposal_type,start_datetime,end_datetime,appr_date,inspection_date,ins_remarks,remarks,city_muni,handling_hbc,contact_hbc,email_hbc,survey_no,city_searched
847202605250008,OPA1510103,CAYA HOMES CANDELARIA,"Lot 3 Blk. 6 CAYA HOMES CANDELARIA BUKAL SUR, CANDELARIA, QUEZON, 4323",Town House,066-2022017321,52,51,1939600,Unoccupied,1,5,1st Public Auction,2026-07-20T00:00:00,2026-07-24T23:59:00,03/23/2026 00:00:00,06/09/2026 00:00:00,,UNOCCUPIED - TITLE UNDER CONSOLIDATION,CANDELARIA,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PSD-04-267705,CANDELARIA
846202603240012,OPA1510103,CALIYA CANDELARIA,"Lot 2 Blk. 14 Phase 2 CALIYA CANDELARIA MASIN NORTE, CANDELARIA, QUEZON, 4323",Single Attached,066-2023017426,60,58.35,3095900,Occupied,1,5,1st Public Auction,2026-07-20T00:00:00,2026-07-24T23:59:00,04/01/2025 00:00:00,04/14/2026 00:00:00,,OCCUPIED - TITLE UNDER CONSOLIDATION,CANDELARIA,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PCS-04-034089,CANDELARIA
846202212050004,15316,VILLA KATRINA SUBD.                               ,"Lot 23 Blk. 13 Phase I VILLA KATRINA SUBD. PAHINGA NORTE, CANDELARIA, QUEZON, 4323",Single Attached,T438968,72,30,1245400,Occupied,1,5,Negotiated Sale,2026-07-20T00:00:00,2026-07-24T23:59:00,06/15/2026 00:00:00,08/09/2023 00:00:00,,OCCUPIED - TITLE UNDER CONSOLIDATION,CANDELARIA,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PCS-04-020351,CANDELARIA
846202405290006,15315,CALIYA CANDELARIA,"Lot 14 Blk. 4 CALIYA CANDELARIA MASIN SUR, CANDELARIA, QUEZON, 4323",Town House,066-2020007698,46,50,1812900,Occupied/Closed,1,5,Negotiated Sale,2026-07-13T00:00:00,2026-07-17T23:59:00,03/26/2025 00:00:00,06/04/2026 00:00:00,,OCCUPIED/CLOSED - TITLE UNDER CONSOLIDATION,CANDELARIA,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PCS-04-032358,CANDELARIA
846202503260013,15316,CAYA HOMES CANDELARIA,"Lot 3 Blk. 1 CAYA HOMES CANDELARIA BUKAL SUR, CANDELARIA, QUEZON, 4323",Town House,066-2022016888,52,51,1816000,Unoccupied,1,5,Negotiated Sale,2026-07-20T00:00:00,2026-07-24T23:59:00,12/02/2024 00:00:00,07/10/2025 00:00:00,,UNOCCUPIED - TITLE UNDER CONSOLIDATION,CANDELARIA,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PSD-04-267705,CANDELARIA
846202308240004,15316,CALIYA CANDELARIA,"Lot 25 Blk. 18 CALIYA CANDELARIA MASIN SUR, CANDELARIA, QUEZON, 4323",Town House,066-2020008195,45,50,1824500,Occupied,1,5,Negotiated Sale,2026-07-20T00:00:00,2026-07-24T23:59:00,06/15/2026 00:00:00,08/25/2023 00:00:00,,OCCUPIED - TITLE UNDER CONSOLIDATION,CANDELARIA,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PCS-04-032358,CANDELARIA
846202310270016,15316,CALIYA CANDELARIA,"Lot 25 Blk. 17 CALIYA CANDELARIA MASIN SUR, CANDELARIA, QUEZON, 4323",Town House,066-2020008165,45,50,1824500,Occupied,1,5,Negotiated Sale,2026-07-20T00:00:00,2026-07-24T23:59:00,05/14/2026 00:00:00,11/17/2023 00:00:00,,OCCUPIED - TITLE UNDER CONSOLIDATION,CANDELARIA,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PCS-04-032358,CANDELARIA
846202306220001,15316,CALIYA CANDELARIA,"Lot 54 Blk. 18 CALIYA CANDELARIA MASIN SUR, CANDELARIA, QUEZON, 4323",Town House,066-2020008224,47,50,1840700,Occupied,1,5,Negotiated Sale,2026-07-20T00:00:00,2026-07-24T23:59:00,05/14/2026 00:00:00,07/28/2023 00:00:00,,OCCUPIED - TITLE UNDER CONSOLIDATION,CANDELARIA,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PCS-04-032358,CANDELARIA
846202306220007,15316,CALIYA CANDELARIA,"Lot 50 Blk. 18 CALIYA CANDELARIA MASIN SUR, CANDELARIA, QUEZON, 4323",Town House,066-2020008220,47,50,1840700,Unoccupied,1,5,Negotiated Sale,2026-07-20T00:00:00,2026-07-24T23:59:00,05/14/2026 00:00:00,07/28/2023 00:00:00,,UNOCCUPIED - TITLE UNDER CONSOLIDATION,CANDELARIA,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PCS-04-032358,CANDELARIA
846202310270021,15315,CALIYA CANDELARIA,"Lot 8 Blk. 14 CALIYA CANDELARIA MASIN SUR, CANDELARIA, QUEZON, 4323",Town House,066-2020008058,45,50,1864400,Occupied/Closed,1,5,Negotiated Sale,2026-07-13T00:00:00,2026-07-17T23:59:00,04/15/2025 00:00:00,11/17/2023 00:00:00,,OCCUPIED/CLOSED - TITLE UNDER CONSOLIDATION,CANDELARIA,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PCS-04-032358,CANDELARIA
846202310270022,15315,CALIYA CANDELARIA,"Lot 26 Blk. 17 CALIYA CANDELARIA MASIN SUR, CANDELARIA, QUEZON, 4323",Town House,066-2020008166,45,50,1873800,Occupied/Closed,1,5,Negotiated Sale,2026-07-13T00:00:00,2026-07-17T23:59:00,06/20/2025 00:00:00,11/17/2023 00:00:00,,OCCUPIED/CLOSED - TITLE UNDER CONSOLIDATION,CANDELARIA,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PCS-04-032358,CANDELARIA
846202307270008,15316,CALIYA CANDELARIA,"Lot 23 Blk. 16 CALIYA CANDELARIA MASIN SUR, CANDELARIA, QUEZON, 4323",Town House,066-2020008133,45,50,1882900,Unoccupied,1,5,Negotiated Sale,2026-07-20T00:00:00,2026-07-24T23:59:00,05/14/2026 00:00:00,07/28/2023 00:00:00,,UNOCCUPIED - TITLE UNDER CONSOLIDATION,CANDELARIA,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PCS-04-032358,CANDELARIA
846202411260008,OPA1520098,DONVICTOR VILLE HOUSING PROJECT,"Lot 17 Blk. 11 DONVICTOR VILLE HOUSING PROJECT MAYAO SILANGAN, CITY OF LUCENA, QUEZON, 4301",Single Attached,073-2017002114,50,27,708120,Occupied,1,5,2nd Public Auction,2026-07-20T00:00:00,2026-07-24T23:59:00,06/15/2026 00:00:00,05/08/2025 00:00:00,,OCCUPIED - TITLE UNDER CONSOLIDATION,CITY OF LUCENA,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PSD-04-244987,CITY OF LUCENA
846202411280008,OPA1520097,CALMAR HOMES PH5-C,"Lot 4 Blk. 8 Phase V-C CALMAR HOMES PH5-C MAYAO KANLURAN, CITY OF LUCENA, QUEZON, 4301",Single Attached,T-114351,85,40.15,968850,Occupied/Closed,1,5,2nd Public Auction,2026-07-13T00:00:00,2026-07-17T23:59:00,12/11/2024 00:00:00,02/14/2025 00:00:00,,OCCUPIED/CLOSED - TITLE UNDER CONSOLIDATION,CITY OF LUCENA,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PSD-04-079734,CITY OF LUCENA
804619073100007,15316,REYMAR SUBDIVISION,"Lot 3417-G-8 REYMAR SUBDIVISION GULANG-GULANG, CITY OF LUCENA, QUEZON, 4301",Lot Only,T-60801,185,0,703000,Unoccupied-Lot,1,5,Negotiated Sale,2026-07-20T00:00:00,2026-07-24T23:59:00,05/13/2026 00:00:00,05/21/2025 00:00:00,"13.974530,121.609405",UNOCCUPIED-LOT - TITLE UNDER CONSOLIDATION,CITY OF LUCENA,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PSD-04-039159,CITY OF LUCENA
846202002240006,15315,UNITED HOMES SUBD                                 ,"Lot 2245-A-1-A-1 UNITED HOMES SUBD COTTA, CITY OF LUCENA, QUEZON, 4301",Lot Only,T-125189,180,0,774000,Occupied,1,5,Negotiated Sale,2026-07-13T00:00:00,2026-07-17T23:59:00,02/06/2026 00:00:00,11/05/2020 00:00:00,,OCCUPIED - TITLE UNDER CONSOLIDATION,CITY OF LUCENA,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PSD-4A-010028,CITY OF LUCENA
846202404250001,15315,VILLAGE OF ST JUDE EAST,"Lot 36 Blk. 12 Phase 4A VILLAGE OF ST JUDE EAST MAYAO CROSSING, CITY OF LUCENA, QUEZON, 4301",Row House,073-2017004309,36,30,832200,Occupied,1,5,Negotiated Sale,2026-07-13T00:00:00,2026-07-17T23:59:00,06/21/2025 00:00:00,05/01/2024 00:00:00,,OCCUPIED - TITLE UNDER CONSOLIDATION,CITY OF LUCENA,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PSD-04-246966,CITY OF LUCENA
846202405290019,15316,VILLAGE OF ST JUDE EAST,"Lot 28 Blk. 21 Phase 5A VILLAGE OF ST JUDE EAST MAYAO CROSSING, CITY OF LUCENA, QUEZON, 4301",Row House,073-2022000785,36,30,1198200,Occupied,1,5,Negotiated Sale,2026-07-20T00:00:00,2026-07-24T23:59:00,03/11/2025 00:00:00,06/21/2024 00:00:00,,OCCUPIED - TITLE UNDER CONSOLIDATION,CITY OF LUCENA,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",PCS-04-030948,CITY OF LUCENA
804619072300001,15316,VILLAGE OF ST. JUDE EAST,"Lot 4 & 5 Blk. 19 Phase 2A VILLAGE OF ST. JUDE EAST MAYAO CROSSING, CITY OF LUCENA, QUEZON, 4301",Double Attached,073-2019003214&073-2019003215,100,80.5,2313700,Occupied,1,5,Negotiated Sale,2026-07-20T00:00:00,2026-07-24T23:59:00,06/21/2025 00:00:00,03/06/2020 00:00:00,,OCCUPIED - TITLE UNDER HDMF,CITY OF LUCENA,CALAMBA HOUSING HUB,(02)8422-3000 local 6410 or 6403,"edmacale@pagibigfund.gov.ph, abbergancia@pagibigfund.gov.ph",,CITY OF LUCENA
